ra,dec,mag_r,type
11.001093910591502,19.719866046322263,16.146606,SER
185.72911585969774,12.566781328737987,15.345048,SER
214.5386316,52.7261086,23.13852,PSF
186.4813784818292,21.76595686668026,17.579018,SER
0.7065573914041129,0.7794970877254148,18.4234,SER
123.17726797763956,29.60442112916773,15.81583,SER
175.31300788404806,10.720944350828836,inf,DUP
180.1082394033822,0.2996335454281737,15.909035,SER
185.005859375,44.547771453900005,17.061567,REX
149.9160655,1.7973115,22.126463,REX
209.581283569,20.6197109222,16.146133,SER
175.51919125311488,4.777677933157528,inf,DUP
143.404983521,60.6064872742,16.638483,SER
312.34321018943433,-61.64492625226095,17.935015,SER
165.78706703325867,10.6645738905716,17.545595,SER
249.042129517,24.5083675385,16.86331,SER
183.240264893,59.2705230713,16.412573,REX
154.8629813504464,16.64450701896915,17.498299,SER
149.5399707,2.7768894,22.795885,REX
141.11876253177942,8.327205036314085,17.396698,SER
231.05350015206034,11.693579755031323,15.748017,SER
217.86335682488615,-2.669201207742374,16.758629,SER
131.42704123025484,29.276093935851726,16.864265,SER
214.32796128928624,2.033985471072498,inf,DUP
12.276946429757189,-18.83583429243315,17.85474,SER
210.73576887898895,14.004630167193055,16.338207,SER
177.42864990200002,12.3352422714,inf,DUP
174.30431746639223,18.25204811698669,16.214502,SER
215.3950947110382,10.518957162613217,16.99567,SER
125.314537048,41.395614624,15.125114,SER
199.415023804,59.0479469299,16.623646,SER
150.3289695,2.2261436,24.266571,DEV
145.4153130560802,11.83082271233907,inf,DUP
218.98362370543978,0.3024807474309778,17.237246,SER
149.6566902,2.7118612,22.899975,REX
150.4022728,1.8777441,18.641764,PSF
2.269833719268254,-5.072016226244368,18.177473,SER
176.200592041,19.5809497833,inf,DUP
149.8490876,1.6150984,23.550419,PSF
246.15908883066896,24.633068362638912,17.238705,SER
315.1817248457349,-5.826575582360887,18.33464,SER
332.2587951192651,-45.27595672265395,16.683456,SER
168.99218932509413,23.564223906880617,17.022919,EXP
143.389755249,9.87571430206,15.746442,SER
150.4053912,2.5906314,22.984764,EXP
162.73621358771302,-1.7013142668949475,18.618437,SER
163.80340369835935,22.05091463693065,15.237398,SER
214.801528931,28.7269649506,15.698359,SER
185.120620728,48.841438293500005,15.871203,SER
21.39166744347359,-17.11538046133694,18.409033,SER
258.983581543,28.4672718048,16.738588,SER
147.05664493013796,11.252071397336039,16.927162,SER
353.6313074133915,-2.854285037057128,12.523718,SER
25.301408360132704,-3.05285907931348,16.787134,SER
141.138931274,19.0426559448,16.670397,SER
185.007965088,42.6165008545,15.340044,SER
222.568145752,28.410848617600003,15.942024,SER
53.044882,-27.762167,24.371971,REX
152.32315295279085,-1.5766923217180109,16.466848,SER
126.261405945,8.55683135986,inf,DUP
